"","CRUISE","VESSEL","SPN","POT_ID","BUOY","LAT_DD","LON_DD","DATE_HAUL","TIME_HAUL","SOAK_TIME","DEPTH_F","SPECIES_CODE","SEX","LENGTH","WIDTH","SAMPLING_FACTOR","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","NOTES"
"1",202201,"Summer Bay",11,"F49","XX66",56.2143333333333,-161.996833333333,"3/20/2023","1:17",29.4833333333333,41.5,69322,1,128.53,NA,1,2,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,"ABSC_Y_323"
"2",202201,"Summer Bay",11,"F49","XX66",56.2143333333333,-161.996833333333,"3/20/2023","1:17",29.4833333333333,41.5,69322,1,112.72,NA,1,2,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,"ABSC_Y_323"
"3",202201,"Summer Bay",11,"F49","XX66",56.2143333333333,-161.996833333333,"3/20/2023","1:17",29.4833333333333,41.5,69322,1,136.59,NA,1,2,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,"ABSC_Y_323"
"4",202201,"Summer Bay",12,"F48","XXX11",56.248,-161.996166666667,"3/20/2023","1:38",29.55,43.6,69322,1,140.31,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,""
"5",202201,"Summer Bay",12,"F48","XXX11",56.248,-161.996166666667,"3/20/2023","1:38",29.55,43.6,69322,2,94.93,NA,1,2,2,1,5,44,NA,NA,NA,NA,NA,NA,NA,""
"6",202201,"Summer Bay",13,"F47","XX78",56.2808333333333,-161.995,"3/20/2023","2:09",29.7833333333333,45.1,69322,1,95.79,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"ADFG_B_225"
"7",202201,"Summer Bay",13,"F47","XX78",56.2808333333333,-161.995,"3/20/2023","2:09",29.7833333333333,45.1,69322,1,129.18,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"ADFG_B_225"
"8",202201,"Summer Bay",13,"F47","XX78",56.2808333333333,-161.995,"3/20/2023","2:09",29.7833333333333,45.1,69322,1,125.12,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"ADFG_B_225"
"9",202201,"Summer Bay",13,"F47","XX78",56.2808333333333,-161.995,"3/20/2023","2:09",29.7833333333333,45.1,69322,1,153.85,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"ADFG_B_225"
"10",202201,"Summer Bay",13,"F47","XX78",56.2808333333333,-161.995,"3/20/2023","2:09",29.7833333333333,45.1,69322,1,130.71,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"ADFG_B_225"
"11",202201,"Summer Bay",13,"F47","XX78",56.2808333333333,-161.995,"3/20/2023","2:09",29.7833333333333,45.1,69322,1,146.92,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"ADFG_B_225"
"12",202201,"Summer Bay",13,"F47","XX78",56.2808333333333,-161.995,"3/20/2023","2:09",29.7833333333333,45.1,69322,1,102.5,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"ADFG_B_225"
"13",202201,"Summer Bay",13,"F47","XX78",56.2808333333333,-161.995,"3/20/2023","2:09",29.7833333333333,45.1,69322,1,135.56,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"ADFG_B_225"
"14",202201,"Summer Bay",13,"F47","XX78",56.2808333333333,-161.995,"3/20/2023","2:09",29.7833333333333,45.1,69322,1,143.49,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"ADFG_B_225"
"15",202201,"Summer Bay",13,"F47","XX78",56.2808333333333,-161.995,"3/20/2023","2:09",29.7833333333333,45.1,69322,2,109.98,NA,1,2,2,1,5,44,NA,NA,NA,NA,NA,NA,NA,"ADFG_B_225"
"16",202201,"Summer Bay",17,"F43","XX125",56.4136666666667,-161.9895,"3/20/2023","3:33",29.8833333333333,40.9,69322,2,100.03,NA,1,2,2,1,5,22,NA,NA,NA,NA,NA,NA,NA,""
"17",202201,"Summer Bay",18,"F42","XX22",56.4468333333333,-161.988333333333,"3/20/2023","3:54",29.8833333333333,40.8,69322,1,133.19,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"ABSC_Y_319"
"18",202201,"Summer Bay",18,"F42","XX22",56.4468333333333,-161.988333333333,"3/20/2023","3:54",29.8833333333333,40.8,69322,2,107.84,NA,1,2,2,1,5,44,NA,NA,NA,NA,NA,NA,NA,"ABSC_Y_319"
"19",202201,"Summer Bay",18,"F42","XX22",56.4468333333333,-161.988333333333,"3/20/2023","3:54",29.8833333333333,40.8,69322,2,94.25,NA,1,2,2,1,5,44,NA,NA,NA,NA,NA,NA,NA,"ABSC_Y_319"
"20",202201,"Summer Bay",20,"F40","XX60",56.5133333333333,-161.985,"3/20/2023","4:35",29.85,34.7,69322,2,157.26,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA,""
"21",202201,"Summer Bay",20,"F40","XX60",56.5133333333333,-161.985,"3/20/2023","4:35",29.85,34.7,69322,1,139.96,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,""
"22",202201,"Summer Bay",20,"F40","XX60",56.5133333333333,-161.985,"3/20/2023","4:35",29.85,34.7,69322,1,146.51,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,""
"23",202201,"Summer Bay",24,"G52","XXJW",56.108,-161.554666666667,"3/21/2023","0:41",38.75,25.7,69322,1,71.8,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,""
"24",202201,"Summer Bay",24,"G52","XXJW",56.108,-161.554666666667,"3/21/2023","0:41",38.75,25.7,69322,1,123.9,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,""
"25",202201,"Summer Bay",24,"G52","XXJW",56.108,-161.554666666667,"3/21/2023","0:41",38.75,25.7,69322,2,93.7,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA,""
"26",202201,"Summer Bay",24,"G52","XXJW",56.108,-161.554666666667,"3/21/2023","0:41",38.75,25.7,69322,2,141.5,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA,""
"27",202201,"Summer Bay",24,"G52","XXJW",56.108,-161.554666666667,"3/21/2023","0:41",38.75,25.7,69322,2,113.4,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA,""
"28",202201,"Summer Bay",24,"G52","XXJW",56.108,-161.554666666667,"3/21/2023","0:41",38.75,25.7,69322,2,142.6,NA,1,3,2,2,6,44,NA,NA,NA,NA,NA,NA,NA,""
"29",202201,"Summer Bay",24,"G52","XXJW",56.108,-161.554666666667,"3/21/2023","0:41",38.75,25.7,69322,2,125.9,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA,""
"30",202201,"Summer Bay",24,"G52","XXJW",56.108,-161.554666666667,"3/21/2023","0:41",38.75,25.7,69322,2,73.9,NA,1,2,0,0,0,44,NA,NA,NA,NA,NA,NA,NA,""
"31",202201,"Summer Bay",25,"G51","XXVI",56.1413333333333,-161.551833333333,"3/21/2023","0:18",38.0833333333333,28,69322,1,143.95,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"ABSC_Y_408"
"32",202201,"Summer Bay",25,"G51","XXVI",56.1413333333333,-161.551833333333,"3/21/2023","0:18",38.0833333333333,28,69322,1,144.15,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,"ABSC_Y_408"
"33",202201,"Summer Bay",25,"G51","XXVI",56.1413333333333,-161.551833333333,"3/21/2023","0:18",38.0833333333333,28,69322,2,110.22,NA,1,2,2,2,6,44,NA,NA,NA,NA,NA,NA,NA,"ABSC_Y_408"
"34",202201,"Summer Bay",26,"G50","XX64",56.1743333333333,-161.55,"3/20/2023","23:57",37.4333333333333,29.4,69322,1,135.67,NA,1,4,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,""
"35",202201,"Summer Bay",26,"G50","XX64",56.1743333333333,-161.55,"3/20/2023","23:57",37.4333333333333,29.4,69322,1,137.11,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,""
"36",202201,"Summer Bay",26,"G50","XX64",56.1743333333333,-161.55,"3/20/2023","23:57",37.4333333333333,29.4,69322,2,100.47,NA,1,2,2,1,5,44,NA,NA,NA,NA,NA,NA,NA,""
