CRUISE,VESSEL,HAUL,STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,SAMPLING_FACTOR,CHELA_HEIGHT,MERUS_LENGTH,COMMENTS,RECORDING_DEVICE,ID,NOTES
202201,162,55,"G67",69322,2,52.0,,2,0,0,0,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000021",
202201,162,55,"G67",69322,2,53.0,,2,0,0,0,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000020",
202201,162,55,"G67",69322,2,53.0,,2,0,0,0,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000019",
202201,162,55,"G67",69322,2,55.0,,2,0,0,0,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000018",
202201,162,55,"G67",69322,2,96.0,,2,0,0,0,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000017",
202201,162,55,"G67",69322,2,22.0,,2,0,0,0,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000016",
202201,162,55,"G67",69322,2,11.0,,2,0,0,0,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000015",
202201,162,55,"G67",69322,2,123.0,,3,3,2,5,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000014",
202201,162,55,"G67",69322,2,222.0,,3,3,2,5,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000013",
202201,162,55,"G67",69322,2,111.0,,3,3,2,3,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000012",
202201,162,55,"G67",69322,1,55.0,,2,,,,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000011",
202201,162,55,"G67",69322,1,123.0,,2,,,,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000010",
202201,162,55,"G67",69322,1,69.0,,2,,,,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000009",
202201,162,55,"G67",69322,1,111.0,,2,,,,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000008",
